NAME,STREET,NO,CITY,COUNTY,SOCIAL_SERVICE,TYPE,CATEGORY,CAPACITY,EMAIL,PHONE
Asociaţia Izvorul Tămăduirii Alba,Dumbrăviței,58,Alba Iulia,Alba,Casa de tip familial Izvorul Tămăduirii,1,B1,14,,
Asociaţia Izvorul Tămăduirii Alba,Garoafelor,64,Alba Iulia,Alba,Casa de tip familial Adolescența,1,B1,12,,
Fundaţia pentru Dezvoltarea Serviciilor Sociale ,Splaiul Unirii,12,București,Bucureşti,Serviciul de îngrijire și asistență la domiciliu,5,B4,25,office@fdss.ro,0371-110-865
Asociaţia Caritas Bucureşti,Soldat Gheorghe Pripu,22-36,București,Bucureşti,Centrul de zi pentru copii cu dizabilități ,4,"B1.1, B1.2, B1.3",10,office@caritasbucuresti.org,021-233-21-34 
Asociaţia Caritas Bucureşti,Soldat Gheorghe Pripu,22-36,București,Bucureşti,Cantina socială Caritas,7,"B1.3, B2.1, B3, B4, B5",120,office@caritasbucuresti.org,021-233-21-34 
Asociaţia Caritas Bucureşti,Soldat Gheorghe Pripu,22-36,București,Bucureşti,Casa Sfântul Ioan ,1,"B1.3, B1.4, B2.1",16,office@caritasbucuresti.org,021-233-21-34 
Asociaţia Filantropia Ortodoxă Alba Iulia,,742,Avram Iancu,Alba,Casa de tip familial Sfântul Ierarh Nicolae Târsa,1,"B1.2, B1.3, B1.4, B2.1",12, filantropia_ortodoxă@yahoo.com,0258-817-766 
Asociaţia Filantropia Ortodoxă Alba Iulia,Nicolae Grigorescu,19,Alba Iulia,Alba,Așezământul social Sfântul Vasile cel Mare - centrul rezidențial pentru protecția copilului,1,"B1.3, B1.4, B2.1",15, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia,Turzii,100,Bistra,Alba,Serviciul socio medical de îngrijire la domiciliu a persoanelor vârstnice Bistra,5,B4,30, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia,Principală,228,Tiur,Alba,Locuință protejată pentru persoane adulte cu handicap nr. 1,3,"B2, B3, B4",10, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia,Principală,237,Tiur,Alba,Locuință protejată pentru persoane adulte cu handicap nr. 2 Tiur,3,"B2, B3, B4",10, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia,Florilor,7,Zlatna,Alba,Centrul comunitar de servicii socio medicale Sfântul Pantelimon Zlatna - serviciul socio medical de îngrijire la domiciliu a persoanelor vârstnice,5,B4,35, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia,Bradului,1,Blaj,Alba,Serviciul socio medical de îngrijire la domiciliu Sfânta Parascheva,5,B4,25, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia,Victoriei,102,Valea Lungă,Alba,Centrul de zi pentru copii Sfântul Nicolae Valea Lungă,4,B1.3,25, filantropia_ortodoxă@yahoo.com, 0258-817766
Asociaţia Filantropia Ortodoxă Alba Iulia,Victoriei,102,Valea Lungă,Alba,Serviciul socio medical de îngrijire la domiciliu a persoanelor vârstnice Valea Lungă,5,B4,25, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia,Moldovei,11,Alba Iulia,Alba,Centrul educațional de zi Sfântul Nicolae Alba Iulia,4,B1.3,25, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia ,Brazilor,3,Baia de Arieș,Alba,Centrul de zi pentru copii Sfânta Varvara Baia de Arieș,4,b1,25, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia,Brazilor,3,Baia de Arieș,Alba,Serviciul socio medical de îngrijire la domiciliu a persoanelor vârstnice Sfânta Varvara Baia de Arieș,5,b4,25, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia,Încoronării,1,Alba Iulia   ,Alba,Serviciul socio medical de îngrijire la domiciliu a persoanelor vârstnice Alba Iulia,5,b4,40, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia ,,384,Pianu,Alba,Locuință protejată pentru persoane cu handicap nr. 5 Sfânta Elena - Pianu de Jos,3,"b2, b3, b4",10, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Filantropia Ortodoxă Alba Iulia ,Iașilor,81A,Alba Iulia   ,Alba,Adăpost de noapte,10,"b3, b4",50, filantropia_ortodoxă@yahoo.com, 0258-817-766
Asociaţia Sfântul Prooroc Ilie Tesviteanul,Unirii,1,Aiud,Alba,Casa de tip familial Sfântul Prooroc Ilie Tesviteanul Aiud,1,"b1.2, b1.3",18,,0258-865-591
Asociaţia Sfântul Prooroc Ilie Tesviteanul,Unirii,1,Aiud,Alba,Centrul de zi pentru copii Sfântul Prooroc Ilie Tesviteanul ,4,b1.3,25,,0258-865-591
Asociaţia Sfântul Prooroc Ilie Tesviteanul,Unirii,1,Aiud,Alba,Serviciul socio medical de îngrijire la domiciliu a persoanelor vârstnice Sfântul Prooroc Ilie Tesviteanul Aiud,5,b4,25,,0258-865-591
Filiala Filantropia Ortodoxă Totoi a Asociației Filantropia Ortodoxă Alba Iulia,Orizontului,20,Alba Iulia,Alba,Casa de tip familial Sfânta Maria,1,,15,slevasteofil@yahoo.com,0745-372-036
Filiala Filantropia Ortodoxă Totoi a Asociației Filantropia Ortodoxă Alba Iulia,Arieșului,67,Alba Iulia,Alba,Casa de tip familial Sfânta Ana,1,,15,slevasteofil@yahoo.com,0745-372-036
